1500
37760
9000
51;3
70;25
45;96
37;100
96;97
47;91
97;31
64;94
28;11
30;92
23;63
81;24
71;9
10;45
56;93
7;7
48;87
46;87
2;83
71;59
1;13
15;90
21;29
63;5
74;15
58;62
25;37
32;100
15;25
24;89
39;54
2;44
24;72
54;6
9;8
24;8
82;2
97;35
88;54
10;20
17;70
97;64
18;5
45;63
65;49
15;62
35;23
79;90
19;97
52;40
97;10
29;51
75;94
61;60
58;8
18;31
96;91
90;46
50;89
51;91
17;93
70;7
19;85
39;34
88;8
43;99
75;93
94;57
71;87
67;36
86;66
39;81
9;27
87;72
86;5
63;12
51;24
80;42
100;99
61;100
25;27
87;97
37;50
22;9
68;78
64;3
48;9
84;55
2;30
15;10
1;8
77;33
47;96
7;62
73;29
82;39
12;39
56;57
22;23
82;100
48;63
82;20
57;95
94;12
45;60
99;36
99;50
36;79
17;15
23;51
91;91
18;75
11;63
10;50
23;82
30;70
84;5
87;85
56;55
41;21
52;17
93;31
97;39
61;21
85;46
38;8
64;6
41;85
44;17
98;86
63;15
53;34
52;13
46;77
66;53
8;53
9;12
51;89
66;27
4;28
94;4
25;75
27;45
90;49
12;75
54;16
7;53
96;52
16;35
87;16
94;58
76;1
6;6
67;63
3;27
68;95
94;91
5;27
81;56
58;10
99;30
32;60
57;7
14;1
92;43
54;90
100;9
73;76
12;3
99;42
63;22
94;63
59;57
93;4
4;36
52;48
21;78
31;29
8;48
73;25
24;33
3;71
85;26
90;23
7;91
62;80
51;61
17;63
90;63
93;86
48;44
21;13
50;23
59;53
53;69
43;79
28;8
67;27
68;53
44;66
63;54
8;34
42;70
39;84
8;25
17;37
92;56
13;62
58;100
92;11
11;20
24;84
12;26
21;14
94;15
27;15
24;75
30;5
12;83
70;26
63;35
9;33
76;64
15;78
97;70
11;35
75;12
5;95
11;33
56;52
90;11
42;17
89;63
86;71
34;67
42;36
84;100
61;82
61;1
1;66
27;29
50;41
56;93
42;41
95;13
86;97
44;93
62;58
4;66
70;30
43;19
88;22
15;25
14;72
54;74
12;53
27;33
7;89
82;60
27;33
90;72
55;5
73;62
14;50
31;11
33;40
19;58
84;45
80;38
95;52
59;31
23;56
51;54
73;3
14;56
79;28
82;40
41;48
76;93
44;51
100;80
7;19
35;48
62;85
19;91
80;40
57;20
4;46
57;47
72;11
39;93
35;37
25;51
13;75
30;90
77;30
81;63
92;81
71;65
53;49
31;56
53;77
100;82
91;53
46;33
28;33
45;92
86;61
80;94
72;8
2;81
64;45
39;53
28;96
37;18
30;10
26;12
34;7
30;96
6;85
75;8
25;13
41;95
89;39
23;4
41;4
24;75
3;52
55;98
35;26
40;1
76;51
14;12
55;82
26;6
7;67
6;15
4;32
67;100
68;68
6;4
12;35
77;95
23;26
31;21
94;37
77;89
80;29
41;96
9;19
17;97
22;30
56;92
60;56
73;19
71;84
73;41
29;94
24;13
76;84
64;84
88;92
30;39
82;75
41;79
86;72
21;100
1;71
77;77
20;42
62;6
49;26
4;44
20;71
30;90
81;29
57;13
93;19
6;17
57;70
19;99
96;90
61;99
78;14
24;51
66;66
51;59
19;34
58;53
17;83
58;49
7;38
48;81
77;1
58;74
51;49
39;66
30;30
94;75
45;90
71;26
86;44
82;45
52;65
29;23
1;63
12;34
89;98
60;43
84;96
57;82
37;37
9;97
80;6
19;38
4;27
1;73
38;97
99;93
1;71
63;8
51;21
53;97
24;86
84;93
46;91
96;82
6;29
33;96
34;84
65;54
29;3
37;58
79;99
96;9
46;39
58;66
18;67
57;3
20;13
50;45
24;70
50;89
48;10
71;42
65;94
35;67
36;39
33;95
58;23
80;23
34;22
16;42
100;23
14;67
8;92
40;52
72;65
63;63
80;63
91;65
28;82
33;87
35;49
71;33
22;14
100;99
42;95
86;20
37;39
46;85
77;87
20;26
32;36
32;28
21;41
53;99
78;2
20;12
92;1
68;35
95;66
86;7
18;35
64;11
19;33
85;61
99;21
56;90
3;79
41;13
44;92
72;41
89;76
79;49
39;70
21;15
57;25
90;97
61;13
10;8
99;7
2;4
90;70
41;26
97;93
64;41
1;31
26;26
80;98
11;51
85;89
24;43
56;81
58;12
80;90
96;67
78;31
57;9
65;31
23;40
3;60
91;44
47;26
65;52
51;22
7;84
70;77
90;20
24;76
57;49
71;13
10;20
11;95
67;5
12;8
82;13
59;56
70;15
11;98
42;45
87;23
79;42
26;99
58;42
58;48
40;18
93;43
48;95
90;34
3;2
33;68
98;44
63;27
47;88
57;91
49;54
2;48
84;45
32;71
38;81
72;31
33;53
67;71
97;39
35;19
34;42
34;84
42;99
2;26
61;74
36;88
95;91
62;7
1;31
21;95
37;8
8;80
68;62
97;2
83;41
78;80
54;52
36;83
100;28
71;25
5;42
37;58
10;95
2;23
43;94
84;90
31;12
17;34
60;75
34;92
76;97
44;36
98;49
50;93
99;68
5;4
9;34
72;16
42;60
58;4
45;57
31;90
27;49
100;39
61;50
23;16
38;39
75;51
72;4
9;88
94;31
53;27
85;77
16;27
81;16
10;50
56;81
39;47
58;11
67;30
52;10
12;98
19;43
53;61
100;97
9;65
98;17
60;78
40;43
26;38
54;80
30;36
26;80
11;14
25;49
11;30
88;87
60;11
28;16
17;25
90;52
69;63
24;57
59;94
58;36
22;34
25;24
35;56
54;60
73;63
6;45
5;65
53;66
68;39
93;59
